timestamp,timer,channel,position
3334126100,10,0,0.180723
3334225832,10,0,0.167169
3334325832,10,0,0.167169
3334425832,10,0,0.171687
3334525848,10,0,0.177711
3334625860,10,0,0.183735
3334725856,10,0,0.201807
3334825848,10,0,0.216867
3334925840,10,0,0.224398
3335025836,10,0,0.24247
3335125836,10,0,0.259036
3335225840,10,0,0.27259
3335325836,10,0,0.284639
3335425840,10,0,0.286145
3335525868,10,0,0.320783
3335625864,10,0,0.347892
3335725840,10,0,0.39006
3335825852,10,0,0.388554
3335925844,10,0,0.414157
3336025844,10,0,0.420181
3336126108,10,0,0.459337
3336225844,10,0,0.472892
3336325844,10,0,0.506024
3336425848,10,0,0.519578
3336525844,10,0,0.540663
3336625872,10,0,0.552711
3336725868,10,0,0.596386
3336825868,10,0,0.614458
3336925848,10,0,0.64759
3337025848,10,0,0.656627
3337125848,10,0,0.650602
3337225852,10,0,0.664157
3337325852,10,0,0.694277
3337425852,10,0,0.685241
3337525864,10,0,0.709337
3337625856,10,0,0.709337
3337725852,10,0,0.73494
3337825860,10,0,0.763554
3337925856,10,0,0.775602
3338025852,10,0,0.789157
3338126128,10,0,0.808735
3338225868,10,0,0.829819
3338325856,10,0,0.840361
3338425856,10,0,0.864458
3338525880,10,0,0.900602
3338625856,10,0,0.930723
3338725872,10,0,0.950301
3338825860,10,0,0.965361
3338925860,10,0,0.975904
3339025860,10,0,0.983434
3339125860,10,0,0.987952
3339225860,10,0,0.99247
3339325864,10,0,0.993976
3339425864,10,0,0.995482
3339525884,10,0,0.996988
3339625864,10,0,0.990964
3339725880,10,0,0.993976
3339825868,10,0,0.995482
3339925868,10,0,0.996988
3340025872,10,0,0.998494
3340126136,10,0,0.998494
3340225868,10,0,0.998494
3340325872,10,0,1
3340425868,10,0,1
3340525868,10,0,1
3340625872,10,0,1
3340725892,10,0,1
3340825872,10,0,1
3340925872,10,0,1
3341025872,10,0,1
3341125872,10,0,1
3341225872,10,0,1
3341325876,10,0,1
3341425876,10,0,1
3341525876,10,0,1
3341625880,10,0,1
3341725876,10,0,1
3341825900,10,0,1
3341925876,10,0,1
3342025880,10,0,1
3342126144,10,0,1
3342225880,10,0,1
3342325880,10,0,1
3342425880,10,0,1
3342525884,10,0,1
3342625904,10,0,1
3342725884,10,0,1
3342825884,10,0,1
3342925884,10,0,1
3343025884,10,0,1
3343125884,10,0,1
3343225888,10,0,1
3343325888,10,0,1
3343425888,10,0,1
3343525888,10,0,1
3343625908,10,0,1
3343725888,10,0,1
3343825900,10,0,1
3343925892,10,0,1
3344025892,10,0,1
3344126164,10,0,1
3344225900,10,0,1
3344325892,10,0,1
3344425896,10,0,1
3344525896,10,0,1
3344625908,10,0,1
3344725920,10,0,1
3344825908,10,0,1
3344925896,10,0,1
3345025896,10,0,1
3345125900,10,0,1
3345225900,10,0,1
3345325900,10,0,1
3345425908,10,0,1
3345525908,10,0,1
3345625904,10,0,1
3345725928,10,0,1
3345825904,10,0,1
3345925904,10,0,1
3346025904,10,0,1
3346126176,10,0,1
3346225912,10,0,1
3346325908,10,0,1
3346425932,10,0,1
3346525908,10,0,1
3346625928,10,0,1
3346725908,10,0,1
3346825908,10,0,1
3346925908,10,0,1
3347025908,10,0,1
3347125908,10,0,1
3347225912,10,0,1
3347325912,10,0,1
3347425936,10,0,1
3347524796,4,1,1
3347525912,10,0,1
3347625920,10,0,1
3347725916,10,0,1
3347825916,10,0,1
3347925916,10,0,1
3348025916,10,0,1
3348126180,10,0,1
3348225920,10,0,1
3348325920,10,0,1
3348425928,10,0,1
3348525920,10,0,1
3348625948,10,0,1
3348725920,10,0,1
3348825920,10,0,1
3348925920,10,0,1
3349025920,10,0,1
3349125920,10,0,1
3349225924,10,0,1
3349325924,10,0,1
3349425932,10,0,1
3349525932,10,0,1
3349625940,10,0,1
3349725948,10,0,1
3349825924,10,0,1
3349925928,10,0,1
3350025928,10,0,1
3350126192,10,0,1
3350225928,10,0,1
3350306304,10,0,-0
